COU,Country,POL,Pollutant,VAR,Variable,YEA,Unit Code,Unit,Forecast
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,399922.128
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,399922.128
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,399922.128
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,399922.128
AUS,Australia,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,399922.128
AUT,Austria,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,62730.823444097245
AUT,Austria,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,62730.823444097245
AUT,Austria,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,62730.823444097245
AUT,Austria,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,62730.823444097245
AUT,Austria,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,62730.823444097245
BEL,Belgium,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,92632.83284645862
BEL,Belgium,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,92632.81519960688
BEL,Belgium,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,92632.81506829901
BEL,Belgium,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,92632.15516127937
BEL,Belgium,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2025,T_CO2_EQVT,Tonnes of CO2 equivalent,92632.3187037322
CAN,Canada,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2021,T_CO2_EQVT,Tonnes of CO2 equivalent,534863.824
CAN,Canada,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2022,T_CO2_EQVT,Tonnes of CO2 equivalent,534863.824
CAN,Canada,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2023,T_CO2_EQVT,Tonnes of CO2 equivalent,534863.824
CAN,Canada,CO2,Carbon dioxide,TOTAL,Total  emissions excluding LULUCF,2024,T_CO2_EQVT,Tonnes of CO2 equivalent,534863.824
